"","siteid","date","county","state","latitude","longitude","mwspecies","mwcount","monarchcount"
"1","1010",2011-06-05,"Brown","WI",44.5,-88,"Asclepias syriaca",160,0
"2","1010",2011-06-12,"Brown","WI",44.5,-88,"Asclepias syriaca",164,8
"3","1010",2011-06-20,"Brown","WI",44.5,-88,"Asclepias syriaca",179,1
"4","1010",2011-06-27,"Brown","WI",44.5,-88,"Asclepias syriaca",175,1
"5","1010",2011-07-05,"Brown","WI",44.5,-88,"Asclepias syriaca",176,1
"6","1010",2011-07-11,"Brown","WI",44.5,-88,"Asclepias syriaca",193,8
"7","1010",2011-07-19,"Brown","WI",44.5,-88,"Asclepias syriaca",176,7
"8","1010",2011-07-25,"Brown","WI",44.5,-88,"Asclepias syriaca",186,6
"9","1010",2011-08-01,"Brown","WI",44.5,-88,"Asclepias syriaca",178,8
"10","1010",2011-08-08,"Brown","WI",44.5,-88,"Asclepias syriaca",172,12
"11","1010",2011-08-15,"Brown","WI",44.5,-88,"Asclepias incarnata",165,4
"12","1010",2011-08-29,"Brown","WI",44.5,-88,"Asclepias syriaca",150,0
"13","1034",2019-05-15,"Wake","NC",35.9,-78.6,"Asclepias syriaca",70,0
"14","1034",2019-05-22,"Wake","NC",35.9,-78.6,"Asclepias syriaca",66,0
"15","1034",2019-05-29,"Wake","NC",35.9,-78.6,"Asclepias syriaca",72,0
"16","1034",2019-06-05,"Wake","NC",35.9,-78.6,"Asclepias syriaca",68,0
"17","1034",2019-06-12,"Wake","NC",35.9,-78.6,"Asclepias syriaca",71,0
"18","1034",2019-08-29,"Wake","NC",35.9,-78.6,"Asclepias syriaca",53,70
"19","1034",2019-09-11,"Wake","NC",35.9,-78.6,"Asclepias syriaca",37,33
"20","1034",2019-09-29,"Wake","NC",35.9,-78.6,"Asclepias syriaca",31,1
"21","1040",2016-04-14,"Kerr","TX",30,-99.1,"Asclepias asperula",10,0
"22","1040",2016-04-14,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",8,0
"23","1040",2016-04-14,"Kerr","TX",30,-99.1,"Asclepias texana",19,0
"24","1040",2016-04-22,"Kerr","TX",30,-99.1,"Asclepias asperula",10,0
"25","1040",2016-04-22,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",8,0
"26","1040",2016-04-22,"Kerr","TX",30,-99.1,"Asclepias texana",19,0
"27","1040",2016-04-28,"Kerr","TX",30,-99.1,"Asclepias asperula",12,10
"28","1040",2016-04-28,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",9,0
"29","1040",2016-04-28,"Kerr","TX",30,-99.1,"Asclepias texana",19,0
"30","1040",2017-01-12,"Kerr","TX",30,-99.1,"Asclepias texana",1,0
"31","1040",2016-05-12,"Kerr","TX",30,-99.1,"Asclepias asperula",14,0
"32","1040",2016-05-12,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",11,0
"33","1040",2016-05-12,"Kerr","TX",30,-99.1,"Asclepias texana",23,0
"34","1040",2016-05-22,"Kerr","TX",30,-99.1,"Asclepias asperula",17,0
"35","1040",2016-05-22,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",12,0
"36","1040",2016-05-22,"Kerr","TX",30,-99.1,"Asclepias texana",23,0
"37","1040",2016-05-26,"Kerr","TX",30,-99.1,"Asclepias asperula",21,1
"38","1040",2016-05-26,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",10,0
"39","1040",2016-05-26,"Kerr","TX",30,-99.1,"Asclepias texana",30,0
"40","1040",2016-06-02,"Kerr","TX",30,-99.1,"Asclepias asperula",23,0
"41","1040",2016-06-02,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",10,0
"42","1040",2016-06-02,"Kerr","TX",30,-99.1,"Asclepias texana",29,0
"43","1040",2016-06-09,"Kerr","TX",30,-99.1,"Asclepias asperula",22,0
"44","1040",2016-06-09,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",10,0
"45","1040",2016-06-09,"Kerr","TX",30,-99.1,"Asclepias texana",28,0
"46","1040",2016-06-16,"Kerr","TX",30,-99.1,"Asclepias asperula",27,0
"47","1040",2016-06-16,"Kerr","TX",30,-99.1,"Asclepias oenotheroides",10,0
"48","1040",2016-06-16,"Kerr","TX",30,-99.1,"Asclepias texana",36,0
